Number	Opening_hours	Distance
1	Mo-Th 16:00-24:00; Fr 16:00-02:00; Sa 14:00-02:00; Su 14:00-24:00	0
1	Mo-Fr 06:30-20:00; Sa 08:00-20:00; Su 09:00-19:00	0
1	Fr-Sa 14:00-19:00; Su 9:00-19:00	0
1	Sa-Su 10:00-23:59	0
1	Mo-Sa 09:00-21:00; Su 10:00-17:00	0
1	Tu-Su 11:00-14:00, 16:00-18:00	0
1	00:00-01:00,10:00-24:00	1
1	Mo-Sa 10:00-18:30; Su 10:30-18:30	0
1	Mo-Th 12:00-22:00; Fr,Sa 12:00-24:00; Su 00:00-02:00,13:00-22:00	0
1	We-Th 00:00-00:00	0
1	Mo-Fr 09:00-17:00; Sa 10:00-16:00	0
1	Mo-Fr 07:00-21:00; Sa-Su 09:00-21:00	0
1	Mo-Su,PH 09:00-19:00	0
1	Mo-Fr 16:00-20:00; PH 00:00-00:00	0
1	Mo-Fr 09:00-21:00; We 00:00-00:00; Sa,Su 10:00-21:00	0
1	Mo-Fr 08:00-20:00; Sa,Su,PH 09:00-20:00	0
1	Mo-Fr 07:00-18:00;Sa 08:00-13:00;Su,PH 08:00-11:00	0
1	Mo-Fr 7:00-17:00	2
1	Mo-Th 14:00-24:00; Fr 00:00-01:00,14:00-24:00; Sa 00:00-03:00,14:00-24:00; Su 00:00-03:00	0
1	Mo 10:30-24:00; Tu-Fr 00:00-01:00,10:30-24:00; Sa 00:00-03:00,10:30-24:00; Su 00:00-03:00	0
1	Tu-Th 11:00-23:00; Fr 10:00-24:00; Sa 00:00-03:00,10:00-24:00; Su 00:00-03:00,15:00-22:00	0
1	Mo-Th 07:00-23:00; Fr-Sa 07:00-01:00; Su 09:00-23:00	0
1	Mo 09:00-24:00; Dec 25 00:00-00:00; Jan 1 00:00-00:00	0
1	15:00-18:00	1
1	Mo-Th 14:00-21:00; Fr-Su 14:00-23:00	0
1	Su-Mo 08:00-23:00	0
1	Mo-Fr 07:00-21:00; Sa 08:00-20:00; Su 09:00-19:00	0
1	6 Am to 7Pm	4
1	Mo,Tu 11:00-20:00; We-Sa 11:00-23:00; Su 14:00-17:00	0
1	07:30-00:00	1
1	Mo-Fr 08:15-23:30;Sa 9:00-23:30;Su 10:00-23:30	0
1	Tu-Th, Sa 10:00-18:00; Fr 10:00-14:00; Su,PH 13:30-18:00	0
1	Mo-Th 08:00-16:00; Fr 08:00-15:00; Feb 25-Mar 01: Mo,Fr 11:00-15:00, Tu-Th 08:00-16:00	0
1	06:30-23:59; Su 06:30-17:00	0
1	Mo-Fr 08:00-19:00; Sa 09:00-17:00; Su 10:00-17:00	0
1	Mo-Th 10:30-22:00; Fr-Su 10:30-24:00	0
1	08:45-20:00	1
1	Mo-Fr 10:00-18:00, Jun 18-Aug 12	0
1	Mo-Fr 08:00-20:00; Sa-Su 11:00-19:00	0
1	Mo-Tu 16:00-23:30; We 00:00-00:00; Th-Su 16:00-23:30	0
1	Mo-Sa 07:00-21:00; Su,PH 10:00-20:00	0
1	Su-Fr 08:00-20:00	0
1	8:00-4:30, 7 Days a Week	1
1	Mo-Fr 07:30-21:00; Fr,Sa 08:00-21:00; Su,PH 08:00-20:00	0
1	Mo-Fr 08:00-	2
1	Mo-Sa 07:20-21:00; Su,PH 07:50-21:00	0
1	Mo-Fr 07:00-22:00; Sa 07:30-21:00; Su,PH 08:00-20:00	0
1	Mo-Fr 07:30-21:00;Sa 08:30-22:00;Su 09:00-19:00	0
1	Mo-Th 10:00-00:30; Fr-Sa 10:00-03:30; Su 12:00-19:30	0
1	Mo-Fr 07:00-21:30; Sa 09:30-21:30; Su 10:30-21:30	0
1	Mo-Fr 07:00-19:00; Sa 09:00-18:00	0
1	Mo-Fr 07:30-17:00; Sa 10:00-17:00	0
1	Mo-Fr 8:30-22:30; Sa 10:00-22:30; Su 11:00-17:00	0
1	Th-Su 13:30-17:30	0
1	Mo-We 10:00-17:00; Th-Fr 10:00-18:00; Sa 9:30-15:30	0
1	Mo-Su 10:00-15:00,16:00-21:00	0
1	Mo-Fr 07:00-23:00; Sa 08:00-23:00; Su 09:00-23:00	0
1	Su-Tu 12:00-01:30; We-Sa 12:00-03:30	0
1	Mo-Sa 11:00-23:00; Su 15:00-22:00	0
1	wd 07:00-22:00; Sa 08:00-22:00; Su,PH 08:00-21:00	0
1	Mo-Su 06:30-23:30	0
1	Mo-Fr 07:00-17:30	0
1	Mo-Fr 09:00-23:30; Sa-Su 09:30-23:30	0
1	Mo-Fr 07:00-19:00; Sa 09:00-19:00; Su 11:00-18:30	0
1	Mo-Fr 07:15-22:00;Sa 08:00-22:00;Su,PH 15:00-22:00	0
1	Mo-Su 08:00-21:15	0
1	Mo-Fr 07:00-19:00; Sa 07:00-16:00; Su,PH 13:00-18:00	0
1	Mar,Apr,Oct:Mo-Su,PH 10:00-19:00; May-Sep: Mo-Su,PH 10:00-21:00	0
1	Mo-Su,PH 09:30-18:00; Fr 00:00-00:00	0
1	Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 09:30-20:00	0
1	Mo-Fr 09:00-18:00; Sa-Su 04:00-18:00	0
1	Mo-Tu 07:00-26:00	2
1	13:30-18:00; We 00:00-00:00	0
1	Fr-We 13:00-22:00	0
1	Mo-Sa 05:30-19:00; Su 07:00-18:00	0
1	wd 07:30-18:00	4
1	wd 07:15-19:00	4
1	wd 06:45-22:00; Sa,Su,PH 08:00-19:00	0
1	Mo-Fr 06:45-21:00; Sa,Su,PH 07:00-19:00	0
1	Mo-Fr 06:45-21:00; Sa,Su,PH 07:45-19:00	0
1	Mo-Fr 07:00-24:00; Sa 07:30-24:00; Su,PH 08:00-24:00	0
1	wd 06:30-21:00	4
1	wd 06:45-21:00; Sa,Su,PH 07:00-21:00	0
1	07-00	3
1	Mo-Sa 06:00-18:00, Su 08:00-18:00	0
1	Mo-Fr 07:30-22:00; Sa,Su,PH 08:30-20:00	0
1	Mo-Th 08:00-22:00; Fr,Sa 08:00-23:00; Sa,PH 08:00-22:00	0
1	wd 10:00-22:00; Sa,Su,PH 09:00-22:00	0
1	Mo-Fr 07:00-18:00; Sa 08:00-18:00; Su 10:00-17:00	0
1	Mo-Fr 12:00-18:00; Sa-Su 09:30-19:00	0
1	Mo-Sa 08:30-20:00; Su 09:00-17:00; PH 00:00-00:00	0
1	wd 07:00-20:00; Sa,Su,PH 07:30-17:00	0
1	Mo-Th 08:30-24:00; Fr,Sa 00:00-01:00,08:30-24:00; Su 00:00-01:00,09:00-24:00	0
1	Mo-Fr 09:00-24:00; Sa,Su 00:00-02:00,10:00-24:00	0
1	Mo-Fr 07:30-22:00; Sa 08:00-22:00; Su,PH 08:00-21:00	0
1	Mo-Fr 09:00-03:00; Sa,Su 15:00-03:00	0
1	May-Sep: Su 13:00-17:00	0
1	Mo-Su 9:00-20:00	2
1	Mo-Fr 06:45-21:30; Sa 07:30-21:00; Su,PH 08:00-21:00	0
1	Mo-Fr 09:00-19:00; Sa 10:00-19:00; Su 10:00-18:00	0
1	Mo-Sa 11:00-01:00; Su 14:00-23:00	0
1	12:00-20:00; Su 12:00-16:00	0
1	brottbycafe:se	4
1	Su-Th 21:00-03:00; Fr 21:00-04:00; Sa 20:00-04:00	0
1	Mo-Fr 10:00-20:00;12:00-20:00	0
1	Fr,Sa	2
1	Tu-Sa 12:00-21:00; Su 12:00-17:00	0
1	Mo-Fr 10:00-24:00; We 08:00-24:00; Sa 08:00-01:00; Su 12:00-21:00	0
1	Mo-Sa 08:00-22:30	0
1	Mo,Tu,We,Fr 08:00-18:00; Th 08:00-21:30; Sa 09:00-18:00; Su 10:00-18:00	0
1	Tu-Sa 09:00-18:00; Su 14:00-17:00	0
1	Mo-Su 09:00-18:00; Tu 00:00-00:00	0
1	Lu-Vi 7:00-20:00	4
1	Mo-Su 07:30-00:00	0
1	Mo-Th 07:00-22:00; Fr 07:00-22:30; Sa 08:00-22:30; Su,PH 08:00-22:00	0
1	Mo-Fr 07:30-18:00; Sa 08:00-23:59	0
1	Mo-Fr 10:00-20:00;Sa 10:00-22:00;Su 11:00-22:00	0
1	Mo- Fr 8:30-18:00; Sa-Su 10:00-18:00; Th-Sa 18:30-23:00	0
1	Mo-Tu 10:00-22:00, We-Th 10:00-23:00, Fr-Sa 10:00-01:00, Su 10:00-17:00	0
1	Mo-Fr 06:00-23:00; Sa 07:00-23:00; Su 07:00-22:00	0
1	Sa,Su 11:00-18:00	0
1	Mo-Th 08:00-18:30; Fr 08:00-18:00; Sa 10:00-18:00; Su 11:00-18:00	0
1	11:30-15:00	1
1	Mo-Fr 08:00-17:00; Sa 09:00-17:00; Su 14:00-17:00	0
1	Mo 10:00-20:00; Tu-Fr 10:00-16:00; Sa 10:00-14:00	0
1	Mo 10:30-19:30; Tu-Su 09:30-18:30	0
1	Mo-Fr: 12:00-22:00, Sa-So: 11:00-22:00	2
1	Mo-Sa 07:00-20:00: Su,PH 08:00-18:00	0
1	Mo-Sa 09:00-18:00; Su 10:00-16:00	0
1	Mo-Su 06:00-09:00	0
1	Fr 23:00-24:00; Sa 00:00-03:00,23:00-24:00; Su 00:00-06:00	0
1	Mo-Fr 07:30-19:30; Sa 08:00-18:00; Su 09:00-18:00	0
1	Mo-Su 00:00-01:00,17:00-24:00	0
1	Mo-Fr 09:00-18:30; Sa,Su 08:00-13:30	0
1	Mo-Fr 07:00-22:00; Sa, Su 08:00-22:00; PH 09:30-20:00	0
1	Mo-Fr 5:00-15:30; Sa 5:00-12:00	2
1	Apr-Jun: Tu-Fr 12:00-18:00; Sa-Su 9:00-18:00; Jul-Aug: Mo-Fr 12:00-18:00; Sa-Su 9:00-18:00; Sep-Oct: Tu-Fr 12:00-18:00; Sa-Su 9:00-18:00; Nov-Mar: Fr 14:00-18:00, Sa-Su 9:00-18:00	0
1	Mo-Fr 08:00-20:00; Sa 10:00-19:00; Su 11:00-18:00	0
1	Mo-Fr 06:00-10:15 open 	0
1	Apr-Sep Mo-Th 08:00-22:00; Apr-Sep Fr,Sa 08:00-23:00; Apr-Sep Su 09:00-22:00; Oct-Mar Mo-Th 08:00-20:00; Oct-Mar Fr,Sa 08:00-21:00; Oct-Mar Su 10:00-20:00	0
1	Mo-Fr 08:00-21:00; Sa-Su 10:00-20:00	0
1	Mo-Th 09:00-18:00; Fr,Sa 09:00-19:00; Su 09:00-18:00	0
1	Mo-Th 08:00-01:00; Fr 08:00-04:00; Sa-Su 12:00-04:00	0
1	Tu-Sa 10:00-18:30	0
1	Mo,Su 07:00-24:00; Tu-Fr 00:00-02:00,07:00-24:00; Sa 00:00-02:00	0
1	Mo-Su 00:00-04:00,06:00-24:00	0
1	Mo-Fr 08:00-23:00;Sa,Su 09:00-23:00	0
1	Mo-Su 11:00-24:00; Fr,Sa 11:00-05:00	0
1	Tu-Fr 10:00-14:30,15:00-18:30; Sa 10:00-16:00	0
1	Mo-Fr 10:00-24:00; Sa 12:00-24:00; Su 12:00-23:00	0
1	Mo-Fr 10:00-22:00; Sa,Su 11:00-22:00	0
1	Mo-Sa 07:00-17:00, Su 07:30-17:00	0
1	Mo-Sa 07:00-17:00, Su 08:00-17:00	0
1	Mo-Th 7:00-21:00; Fr 7:00-17:00	2
1	Mo-Fr 07:00-21:00; Sa 07:30-21:00; Su,PH 07:30-20:30	0
1	Mo-Fr 07:00-19:00; Sa 07:30-18:00; Su,PH 08:00-18:00	0
1	Mo-Sa 08:00-21:00; Su 09:00-19:00	0
1	Mo-Fr 11:00-22:00; Sa-Su 12:00-22:00	0
1	Mo-Fr 6:45-23:00; Sa 9:00-23:00; Su 9:00-22:00	2
1	Mo-Th 12:00-24:00; Fr-Su 00:00-06:00,12:00-24:00	0
1	Tu,We 15:00-19:00	0
1	Mo-Th 12:00-21:30; Fr-Su 11:00-22:30	0
1	Mo-Fr 06:00-19:00; Sa 07:00-18:00; Su 07:00-18:00	0
1	Sa-Su 06:00-20:00;Mo-Fr 05:30-20:00	0
1	11:30-00:00	1
1	Mo-Fr 7:00-21-00, Sa-Su 8:00-21:00	2
1	Mo-Fr 00:00-00:00;Sa-Su 08:00-17:00	0
1	Mo-Fr 07:00-19:00; Sa 07:00-18:00; Su 08:00-17:00	0
1	Mo-Fr 11:00-20:00; Sa 12:00-20:00	0
1	Mo-Fr 07:00-11:30	0
1	Mo-Fr 08:00-22:00;Sa,Su 09:00-22:00	0
1	Tu-Sa 04:30-22:00; Su 05:00-13:00	0
1	Mo-Su 12:00-19:00	0
1	Su-Tu 09:00-19:00; We-Sa 09:00-23:00	0
1	Mo-Th 08:00-24:00; Fr 08:00-01:00; Sa 10:00-01:00; Su 10:00-24:00	0
1	Mo-Fr 06:00-18:00; Sa 06:00-13:00; Su 07:30-12:00,14:00-17:30	0
1	Mo-Su 10:00-17:00; Th 00:00-00:00	0
1	Mo-Su 10:00-1:00	2
1	Tu-Fr 08:30-19:00;Sa  08:3019:00,22:00-00:00;Su 11:00-19:00	0
1	Mo-Sa 09:00-21:30;Su 10:00-21:30	0
1	Mo-Sa 07:00-24:00; PH Su 09:00-21:00	0
1	Mo-Sa 06:30-18:00; Su 07:00-18:00; PH 07:00-18:00	0
1	Mo-Fr 08:00-20:00; Sa,Su 09:00-20:00	0
1	6:00-23:00	1
1	Tu-Su 14:00-17:00	0
1	Mo-Fh 08:30-18:00; Fr 08:30-16:00	0
1	Mo-Sa: 07:30-20:00	2
1	Lu-Do 07:00-21:30	4
1	Mo-Su 12:00-21:00; Oct-Feb 00:00-00:00	0
1	Mo-Fr 06:00-18:30; Sa 06:00-14:00	0
1	Mo-Fr 06:00-18:30; Sa 06:00-17:00; Su 07:30-11:00	0
1	Mo-Th 07:30-19:00; Fr 07:30-18:00; Sa 10:00-18:00; Su 10:30-18:00	0
1	Tu 17:00-22:00;Fr 17:00-24:00; Sa 11:00-24:00; Su 11:00-17:00	0
1	Mo-Fr 07:30-19:30; Sa,Su 08:30-19:30	0
1	Mo-Fr 07:00-21:00; Sa, Su 08:00-20:00	0
1	Mo-Fr 15:00-24:00; Sa-Su 17:00-24:00	0
1	Mo 00:00-00:00; Tu-Sa 07:00-19:00; Su 09:00-13:00	0
1	Mo-Fr 11:00-23:00; Su 17:00-23:00; Sa 00:00-00:00	0
1	Mo-Fr 6:15-18:00,Sa 6:15-12:00	2
1	10:00-18:00; Tu 00:00-00:00	0
1	09:30-23:00; Tu 00:00-00:00	0
1	11:00-21:00; We 00:00-00:00	0
1	Mo-Sa 11:30-14:00,17:00-21:30	0
1	Mo-Fr 11:00-20:30; Sa-Su 10:00-19:30; Th 00:00-00:00	0
1	Mo-Fr 06:00-18:00; Sa 07:00-17:00; Su 08:00-17:00	0
1	Mo-Tu 10:00-18:00;We 10:00-21:00;Th-Fr 10:00-18:00;Sa 10:00-15:00;Su 11:00-15:00	0
1	Mo-Sa 07:00-18:30; Su 08:00-18:00	0
1	Mo-Fr 6:45-18:30; Sa 6:45-13:00	2
1	Apr-Oct 08:30-18:00, Nov-Mar Sa-Su 14:30-18:00,  Dec 16-31 00:00-00:00	0
1	Mo-Su 06:30-10:30,12:00-14:00,18:00-21:00	0
1	Mo-Fr 7:30-18:00;Sa 8:30-13:00	2
1	Mo, Tu, Th, Fr, Sa 9:00-18:00; Su 12:00-18:00	0
1	Mo-Fr 05:30-19:30; Sa 07:30-17:00	0
1	Mo-We 11:30-23:00; Th-Sa 11:30-23:00; Su 12:00-21:00	0
1	Mo-Fr 13:30-19:30; Sa-Su 09:00-20:00	0
1	5:00-21:30	1
1	Mo-Fr 07:00-19:00, Sa 07:30-19:00, Su 08:00-17:00	0
1	Mo-Fr 05:30-22:00;Sa-Su 06:00-22:00	0
1	Mo-Fr 06:00-11:00	0
1	Mo-Sa 06:30-20:00; Su 07:30-20:00	0
1	Mo-Sa 06:00-19:00; Su 08:00-18:00	0
1	Mo,Tu,We 8:30-22:00;Th,Fr 8:30-24:00;Sa 9:30-1:00;Su 16:00-22:00;PH 16:00-22:00	0
1	Mo-Sa 09:00-18:30; Su 08:00-18:30	0
1	9:30-18:30	1
1	Mo-Fr 08:00-22:50;Sa-Su 10:00-22:50	0
1	Mo-Th 14:00-22:00; Fr 14:00-03:00; Sa 11:00-03:00; Su 12:00-22:00	0
1	Mo-Fr 06:00-22:00; Sa-Su 07:00-22:00	0
1	12/24	4
1	Mo-Su 10:00-23:45	0
1	Tu-Sa 12:00-22:00	0
1	Mo-Fr 07:00-21:00;Sa,Su 08:00-20:00	0
1	Mo-Sa 06:00-22:00; Su 09:00-22:00	0
1	Mo-Sa 10:00-15:00	0
1	18:00-23:00	1
1	Mo-Sa 09:00-23:00; Su 09:00-21:00	0
1	Mo 09:00-14:00; Tu-We 09:00-18:00, Th-Fr 09:00-23:00; Sa 09:00-14:00,18:00-23:00	0
1	Mo-Th,Su 11:00-23:00; Fr,Sa 11:00-01:00	0
1	07:00-10:00,12:00-23:00	1
1	Fr 10:00-18:00;  Sa 14:00-18:00; Su 14:00-18:00	0
1	Mo-Sa 05:30-23:00; Su 06:00-23:00	0
1	Mo-Th 05:30-23:00; Fr 05:30-24:00; Sa 06:00-24:00; Su 06:30-23:00	0
1	Mo-Th 05:30-23:30; Fr 05:30-00:30; Sa 06:00-00:30; Su 06:00-23:30	0
1	11:30-8:00	1
1	Mo-Sa 06:00-20:00; Su 07:00-20:00	0
1	Tu-Sa 07:00-24:00; Su 08:30-13:00,17:00-24:00	0
1	Mo-Sa 07:25-24:00	0
1	Oct-Dec Mo-Su 07:00-21:00; Tu 00:00-00:00; Apr-Sep Mo-Su 07:00-01:00; Jan-Mar Mo-Su 07:00-21:00; Tu 00:00-00:00	0
1	Mo-Fr 08:30-18:00; Sa-Su 10:00-17:00	0
1	Th-Sa 14:30-18:30; Su 11:00-18:30	0
1	Tu-Sa 08:00-23:00; Su, PH 09:00-22:00	0
1	Mo-Fr 11:00-19:00; Sa 11:00-16:00; Su 12:00-16:00	0
1	Mo-Fr 6:45-18:30;Sa 7:00-13:00;Su 7:30-17:00	2
1	We-Fr 11:00-18:00; Sa 10:00-16:00; Su 14:00-18:00	0
1	Mo-Sa 07:00-20:30; Su 08:00-20:30	0
1	Mo-Sa 07:00-01:00; Su 09:00-01:00	0
1	Mo-Fr 07:30-19:30; Sa 08:00-19:00	0
1	Mo-Fr 07:30-20:00; Sa 08:30-20:00; Su 08:30-19:00	0
1	We-Fr 09:00-21:00; Sa-Su 11:00-21:00	0
1	Mo-Fr 06:00-19:00; Sa 06:00-18:00; Su 8:00-18:00; PH 8:00-13:00	0
1	Mo-Th 07:30-19:30; Fr-Sa 07:30-20:00; Su 10:00-19:30	0
1	Sep-Apr: Mo-Su 09:30-20:00; May-Aug: Mo-Su 09:30-22:00	0
1	Mo-Su 00:00-06:00,19:00-24:00	0
1	Mo-Th 11:00-21:00; Fr-Su 11:00-22:00	0
1	Tu-Sa 17:30-22:00; Su,PH 11:30-22:00	0
1	Mo-Fr 9:00-18:00, Sa 10:00-14:00	0
1	Mo-Su 16:00-24:00	0
1	Mo-Th 05:30-10:00; Fr-Sa 05:30-10:30; Su  06:30-09:30	0
1	Mo-Th 06:30-21:00;Fr 06:30-00:00;Sa 07:30-12:00;Su 07:30-21:00	0
1	Mo-Fr 06:30-22:00; Sa-Su 08:00-22:00	0
1	Mo 07:30-23:00; Tu-Sa 07:00-23:30; Su 06:30-23:00	0
1	Mo-Fr 06:00-20:00; Sa 06:00-17:00; Su 07:00-12:00	0
1	Mo-Fr 05:00-20:00; Sa, Su 06:00-20:00	0
1	Fr-Sa 13:00-18:00; Su,PH 11:00-18:00	0
1	07:00-01:00	1
1	Mo-Th 10:00-21:00; Fr-Sa 09:00-22:00; Su 10:00-21:00	0
1	Mo-Sa 10:00-23:00; Su 15:00-23:00	0
1	Mo-Fr 06:00-05:00, Sa 08:00-05:00, Su 10:00-05:00	0
1	Mo 00:00-00:00; Tu-Fr 10:00-22:00; Sa 10:00-18:00; Su 00:00-00:00	0
1	Tu-Su 08:00-15:00;Sa 09:00-23:00	0
1	Mo-Sa 10:00-20:00; Su 12:00-19:00	0
1	Mo-Fr 07:00-22:00; Sa 07:00-20:00; Su 14:00-20:00	0
1	Mo-Fr 09:00-22:00; Sa,Su 10:00-24:00	0
1	Su-Sa 12:00-20:00; Mo 00:00-00:00	0
1	Mo 09:00-20:00; Tu-Su 09:00-23:00	0
1	07:00-10:00,12:00-19:00	1
1	Mo-Fr 9:30-18:30;Sa 9:30-16:00	2
1	07:00-02:00	1
1	MÐ¾-Fr 09:00-18:00	0
1	Mo-Fr 08:00-19:30; Sa-Su 08:30-19:30	0
1	Su-Th 10:00-00:00; Fr-Sa 10:00-01:00	0
1	Mo-Fr 09:30-15:30,20:30-02:00; Sa,Su 20:30-02:00	0
1	Mo-Su 08:00-last_customer	2
1	Mo-Fr 8:00-5:00, Sa 9:00-4:00	2
1	Mo-Su 09:00-21:00	0
1	Mo-Th 10:00-02:00;Fr-Sa 10:00-05:00;Su 10:00-02:00	0
1	We 12:00-23:59; Tu,Fr 19:00-23:59; Sa,Su,PH 11:00-23:59; Mo,Th 00:00-00:00	0
1	Mo-Sa 07:00-20:00; Su,PH 08:00-19:00	0
1	Th-Sa 12:00-18:00;Su 09:00-18:00	0
1	Mo-Th 07:30-22:00; Fr 09:00-00:00; Sa 00:00-02:00,09:00-00:00; Su 00:00-02:00,09:00-22:00	0
1	Mo-Sa 10:00-17:30;Su 11:00-15:30	0
1	09:30-22:00	1
1	Mo-Fr 08:00-18:00; Su 14:00-18:00	0
1	Mo-Sa 09:00-22:00; Su 11:00-18:00	0
1	Mo-Th, Su 10:00-23:00; Fr, Sa 10:00-00:00	0
1	Mo-Su 10:00-18:30; Tu,Sa 09:00-18:30	0
1	Mo-Th 08:00-02:00;Fr 08:00-04:00;Sa 09:00-04:00;Su 09:00-02:00	0
1	Su-Th 12:00-23:00; Fr-Sa 12:00-24:00	0
1	Mo-Th 08:00-23:00; Fr 08:30-00:30; Sa-Su 11:30-00:30	0
1	Mo-Th 05:30-23:00; Fr 05:30-24:00; Sa 06:00-24:00; Su 06:00-22:30	0
1	We-Mo 11:30-21:00	0
1	Apr-Oct: Mo-Su 09:00-18:00; Nov-Mar: 13:30-18:00	0
1	Mo-Sa 12:30-22:00; Su 11:30-22:00	0
1	Mo-We,Su 10:00-04:00;Th-Sa 10:00-04:00	0
1	Mo-Fr 10:00-19:00; Sa,Su 13:00-19:00	0
1	Apr-Oct: Mo-Fr 12:00-22:00; Sa 10:00-22:00; Su 10:00-20:00; PH 00:00-00:00 ||	0
1	Mo-Fr 08:00-15:00 || 	0
1	Mo-Th 07:00-14:00; Fr-Sa 07:00-02:00; Su 17:00-22:00	0
1	Mo-Fr 09:00-18:00; Sa-Su 09:00-13:00	0
1	10:30-22:30	1
1	Mo-Th 06:30-23:00;Fr 06:30-24:00;Sa 08:00-24:00;Su 08:00-22:00	0
1	Mo-Th 07:00-19:00;Fr 07:00-21:00;Sa 10:00-21:00;Su 11:00-18:00	0
1	Tu-Su,PH 07:00-19:00	0
1	00:700 t0 11:00 	4
1	Mo-Fr 7:00-23:59, Sa-Su 7:30-23:59	2
1	Mo-We 08:30-20:00; Th-Sa 08:30-22:00; Su 10:00-20:00	0
1	Mo-Fr 06:00-14:30; Sa 07:00-14:00	0
1	Mo-Fr 06:00-18:30; Sa,Su 06:00-17:00	0
1	Apr-Oct 13:00-23:59	4
1	Mo-Fr 07:00-20:00; Sa 07:00-19:00	0
1	Mo 06:30-12:30; Tu-Fr 06:30-18:00; Sa 06:30-13:00; Su 07:30-18:00	0
1	Mo-We 11:30-20:00;Fr-Sa 11:30-20:00;Su 11:30-19:00	0
1	Mo-Fr 08:00-22:00; Sa 08:30-14:00; Su 09:30-22:00	0
1	Mo-Sa 16:00-02:00	0
1	Th-Fr 13:00-18:00; Sa 12:00-19:00; Su 12:00-17:00	0
1	We-Mo 11:00-18:00;Tu 11:00-15:00	0
1	We-Su 12:00-18:00; Su 09:00-18:00	0
1	Mo-We 10:00-24:00; Th-Sa 10:00-02:00; Su 09:00-20:00	0
1	Mo-Fr 07:30-21:00; Sa,Su 08:30-20:00	0
1	Oct-Mar: Tu-Sa 14:00-21:00; Su 14:00-20:00; Apr-Sep: Tu-Fr 12:00-20:00; Sa 13:00-21:00; Su 13:00-20:00	0
1	Mo-We 7:00 -21:00,Sa-Su 8:00-17:00	2
1	Mo-Su 10:00-22:00; Th-Sa 10:00-01:00	0
1	Mo-Fr 07:00-24:00; Sa-Su 08:00-24:00; PH 08:00-24:00	0
1	Apr,Oct Sa,Su,PH 13:00-17:00; May-Sep Mo,We,Th,Fr 14:00-20:00; May-Aug Tu 14:00-18:00; May-Aug Sa 12:00-18:00; May-Aug Su,PH 12:00-19:00; Sep Tu 14:00-17:00; Sep Sa 12:00-17:00; Sep Fr,Su,PH 12:00-19:00; Jan-Mar,Nov,Dec 00:00-00:00	0
1	Mo-Su 7:30-18:30	2
1	Mo-Fr 8:30-19:00; Sa-Su 10:00-19:00	0
1	Tu-Sa 09:00-18:00;Su 11:00-18:00	0
1	Mo-Fr 9:00-16:00	2
1	Mo-Fr 13:00-22:00; Sa-Su 11:00-22:00	0
1	Mo 17:00-22:00; Tu-Su 12:00-22:00	0
1	Mo-Fr 07:00-22:00; Sa 08:30-19:30; Su 08:30-19:00	0
1	Mo-Fr 07:00-19:30; Sa-Su 07:30-19:30	0
1	Mo-Sa 10:00-19:30; Su 11:00-19:00	0
1	8:30-24:00	1
1	Mo-Th 09:00-24:00; Fr 09:00-01:00, Sa 10:00-01:00, Su 11:00-24:00	0
1	Mo-Su 09:30-21:30	0
1	Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 00:00-00:00 	0
1	Mo,Tu,We,Th,Fr 09:00-21:00; Sa 09:00-21:00	0
1	Mo,Tu,We,Th,Fr 09:00-19:00;Sa 09:00-19:00	0
1	Mo,Tu,We,Th,Fr 08:00-23:00	0
1	Mo-Th 10:00-22:00; Fr-Su 11:00-23:00	0
1	Mo-Fr  7-4, Sa 7:30-4	2
1	Mo-Sa 08:00-17:30; Su 10:00-17:00	0
1	07:30-23:00	1
1	Mo-Fr 09:00-21:00, Sa 09:00-13:00	0
1	Mo-Fr 08:00-23:00; Sa 10:00-23:00; Su 10:00-21:00	0
1	Tu-Sa 09:00-22:00;Su-Mo 09:00-14:00;PH 09:00-14:00	0
1	8-7 Mo-Fr; 9-7 Sa-Su	2
1	Mo-Th 08:00-01:00; Fr-Sa 08:00-03:00; Su 09:00-01:00	0
1	Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 09:00-21:00	0
1	Mo-Fr 07:00-20:00;Sa 08:00-20:00;Su 11:00-19:00	0
1	Mo-Fr 5-6, Sa 7-4, Su 8-2	2
1	Mo-Fr opens at 9:00, Sa-Su 7:00-7:00	2
1	Mo-Su 9:00-1:00	2
1	05:30-23:00	1
1	Mo-Fr 07:30-22:00; Sa 09:00-20:00	0
1	Mo-Su 10:00-24:00; Fr,Sa 12:00-06:00	0
1	opens at 7:30	4
1	Mo-Fr 07:30-18:00; Sa 08:00-17:00	0
1	Su 06:00-20:00; Mo-Th 05:00-21:00; Fr 05:00-22:00; Sa 06:00-22:00	0
1	opening_hours=Mo-Fr 07:00-21:00	0
1	Mo-Fr 10:00-22:00; Sa-Su 11:00-15:00	0
1	Mo-Su 08:00-22:15	0
1	07:OO  a 09:00	4
1	Mo-Su 11:00-23:00; Th-Sa 11:00-24:00	0
1	10h-16h	4
1	Mo-Fr 11:00-21:30; Sa 12:00-19:30; Su 12:00-15:30	0
1	Mo-Th 7:30-14:00; Fr-Su 7:30-15:00	2
1	Mo-Fr 10:00-23:00; Sa 10:00-21:00; Su 10:00-17:00	0
1	Mo-Fr 06:00-16:00	0
